"order_id","products"
17,"None"
34,"None"
137,"24852"
182,"5479 9337 39275"
257,"24852 27966 29837 49235"
313,"12779 13198 21903 45007 46906"
353,"None"
386,"4920 15872 21479 22124 24852 30450 38281 39180 40759 42265 45066 47766"
414,"20564"
418,"None"
437,"27966"
452,"5262 13166 13176 19370 25340 27966 28666 30336 36313 36606 36735 40386 44632"
474,"None"
492,"21137 24852 28918 43086 44632 46667"
497,"1831 27275 39947"
513,"None"
517,"21903 24852"
604,"None"
680,"7743"
758,"None"
759,"24852"
887,"24852"
1161,"None"
1195,"None"
1304,"24852"
1408,"16428 43352 46676 47912"
1513,"None"
1564,"None"
1727,"12218 40310"
1789,"None"
1802,"3111 3896 4920 11368 13076 13176 20114 21137 21709 34969 35221 42265 43295 43713 45007 47209"
1809,"5258"
1810,"6182 19660"
1867,"21386"
1932,"35417"
1962,"21873"
2034,"13944 15950 25540 26209 33527 42637 47209 47626"
2070,"24852"
2102,"None"
2184,"26914 29447 47209"
2247,"None"
2267,"38569"
2297,"None"
2345,"32689 37141"
2421,"5015 6400 8548 24799 49683"
2481,"19046 23288 24852 27573 28373 30795 36651 42368 47196"
2671,"25466 47626"
2721,"33129"
2806,"10957"
2887,"None"
2990,"None"
3013,"None"
3188,"13176 21137 26856"
3221,"4945 30142"
3223,"8277 11777 14702 24852 28745 34668 36011"
3265,"5884 24852"
3344,"None"
3373,"None"
3384,"33802"
3408,"5479"
3507,"None"
3519,"None"
3587,"11885 15424 40332"
3702,"28571 47185"
3724,"None"
3732,"3957"
3839,"27845"
3866,"5077"
3867,"None"
3870,"35470"
3962,"None"
3981,"22959"
4002,"None"
4055,"11182 47209"
4065,"None"
4133,"13176 39180 48940"
4144,"5077 5578 5764 27845"
4353,"16415 25070 38929 46676 48527"
4372,"24852 46584 48171 49235"
4396,"None"
4458,"9076"
4462,"None"
4551,"24852"
4579,"None"
4602,"29307 47766"
4655,"21137 39871"
4686,"24852"
4848,"None"
4917,"39001"
5007,"43154"
5011,"None"
5041,"24852"
5058,"None"
5082,"13176 33719"
5095,"38200"
5109,"None"
5128,"None"
5166,"5132"
5216,"None"
5349,"None"
5366,"10551 47209"
5400,"None"
5415,"6729 37710 42500"
5525,"None"
5918,"None"
5921,"47209"
5989,"24852 28071 39040 47209"
6067,"4793 7054 10831 14992 15950 16083 21137 24852 41787 46979 47766"
6073,"None"
6100,"196"
6104,"21137"
6138,"None"
6222,"None"
6275,"38672"
6313,"19348 24852 44359 44799"
6346,"None"
6482,"42731"
6490,"None"
6506,"47209"
6530,"13176 45066"
6533,"25146 47141"
6535,"17397"
6645,"196"
6718,"None"
6751,"None"
6763,"6348 14711 24852 27845 47766 48140"
6932,"None"
6967,"None"
7000,"37919 49235"
7074,"4297 14233 21616 21646 22035 33957 37552 42450"
7125,"None"
7187,"35470"
7213,"12341 30162"
7298,"24852 42585 47144"
7370,"19660 24852 33754 35871 42160 48190"
7373,"None"
7387,"8193 29672 30635 30982 41860"
7508,"None"
7594,"None"
7617,"24852 47766"
7669,"45066"
7671,"None"
7683,"None"
7736,"None"
7788,"None"
7837,"3481 5646 14084 27845 44632"
7868,"22123"
7908,"19348 24852 36011 39877 47630"
7909,"1511 28204"
7982,"13176 23044 30489 35594 38558 44632"
8030,"None"
8038,"47141"
8041,"12674 13176 16415 47209"
8111,"None"
8156,"3765"
8164,"None"
8185,"None"
8188,"21903 24184 33000"
8240,"12606"
8282,"28993 34969 35221 47766"
8284,"16797 36691 49235"
8326,"None"
8363,"8927 32828 42265 42585"
8418,"None"
8450,"None"
8458,"None"
8514,"13176"
8608,"6402 9421 17027 19057 23025 30489 47209"
8795,"9208 13166 24669"
8865,"16528"
8876,"15424"
8887,"None"
8989,"436 6347 8412 16965 28553 28934 42557"
9071,"9421 13176 18362 21872 26768 29112 30776 36735"
9175,"None"
9190,"None"
9272,"33000 43352"
9300,"None"
9318,"None"
9356,"19008 24852 26209"
9391,"None"
9427,"48776"
9446,"None"
9503,"None"
9526,"None"
9564,"5450 11494 17948 21903 23079 24489 26209 26298 27086 27966 33352 42244 45578 46979"
9824,"None"
10061,"30827 43352"
10126,"35886"
10176,"24852"
10338,"None"
10462,"35689"
10464,"None"
10537,"None"
10583,"25199"
10600,"None"
10620,"24852"
10772,"None"
10840,"47766"
10849,"None"
10955,"None"
11026,"48857"
11044,"None"
11145,"None"
11224,"28204"
11326,"6348 24024"
11408,"14947 21709 24852"
11518,"None"
11549,"None"
11556,"None"
11606,"10768 14161 21610 37449"
11623,"184 6348 6724"
11659,"19348 28599 29315 43190"
11664,"None"
11697,"46149"
11749,"10070"
11849,"1364 22825 29244"
11888,"None"
11943,"None"
11974,"7029 38809"
11987,"32478"
11992,"None"
11994,"12606 13634"
12054,"None"
12184,"None"
12187,"12341"
12233,"11520 21137 22035 23765 24852 47144 47626"
12234,"None"
12253,"16192"
12258,"42265"
12323,"None"
12338,"7350 16965"
12478,"13245"
12517,"21137"
12553,"36969"
12571,"30696 47144"
12662,"5785 13176 14992 21137 23165 26369 30391 31504 33731 36746 45007 47209"
12745,"None"
12754,"None"
12846,"None"
12881,"13176 24024 28204 36865 47209"
12891,"None"
12894,"27288"
12938,"33572"
12948,"None"
13003,"None"
13024,"38622 39877"
13040,"27845"
13085,"None"
13128,"14947 20697"
13132,"None"
13160,"13176 20842 32553"
13188,"None"
13195,"None"
13210,"4562 14084 27247 30975 31562 32303 43014 44570 46906"
13241,"None"
13250,"None"
13433,"None"
13441,"26364 31100 43643"
13471,"196"
13497,"18673"
13533,"196 7380 13388 13578 16483 17341 17795 21397 29925 40261 43221 44129"
13534,"21288"
13545,"43693"
13557,"47766"
13564,"24852"
13608,"None"
13680,"None"
13715,"6686 15820 19348 34026"
13733,"None"
13747,"None"
13787,"None"
13812,"11520 16254 20169 22935 24852 26604 27845 35951 39877 45066"
13879,"48957"
13936,"16797 20947 26165 28820"
13977,"9839 21903 27521 39877"
13982,"3562 30352 44199"
14003,"7175 47209"
14049,"None"
14098,"None"
14124,"432 13702 24184 43772"
14232,"None"
14346,"15902 24852 33894 42460 44948 45066"
14369,"11869"
14407,"3631 38689"
14422,"None"
14453,"None"
14484,"None"
14616,"None"
14697,"None"
14729,"24852"
14750,"12392 29447"
14773,"None"
14817,"36591"
14850,"None"
14936,"None"
14974,"24852 30850 44292"
14994,"None"
15028,"None"
15066,"None"
15067,"44596 45007"
15069,"1194 29996 36714"
15076,"None"
15094,"None"
15272,"11520"
15286,"37766 45066"
15332,"None"
15345,"19348"
15375,"None"
15390,"None"
15393,"None"
15400,"None"
15422,"None"
15447,"None"
15481,"None"
15518,"8174 25138 45007"
15553,"13431"
15718,"3599 4957 5077 27454 27845 45537"
15740,"25237 44315"
15804,"14233"
15888,"196"
15928,"None"
15972,"13176 18362 22035 47209"
16148,"None"
16160,"None"
16169,"30776 33894"
16225,"13176 35782"
16258,"5428 22220"
16287,"12341"
16295,"None"
16323,"4605 4799 9934 24852 39180 45066"
16467,"None"
16471,"None"
16511,"None"
16593,"10722 27511"
16738,"None"
16806,"None"
16867,"None"
16880,"None"
16983,"5959 6655 20345 24852 29310 38028"
17039,"None"
17044,"19660 21903 46820 47766"
17051,"None"
17106,"15520 27323 34024"
17124,"1700 4920 9071 13176 13249 21903 22825 27845 34590 36865 39781 44949 47144 47766"
17151,"None"
17200,"13176 21903 30489 42265"
17209,"None"
17250,"13176"
17279,"47209"
17396,"13176 14633 21137 29675"
17474,"None"
17575,"5785 29594"
17751,"None"
17781,"25461"
17795,"None"
17812,"22556 35221"
17889,"43154"
18077,"None"
18113,"40332 47766"
18145,"4210 30630"
18146,"24852"
18156,"459 2164 5077 10673 13176 16234 17616 24010 27966 29373 36459"
18213,"8277 13176"
18221,"27845"
18258,"13176 38689"
18278,"None"
18294,"22035 22124 24852 26914 29594 39877 44910"
18349,"None"
18362,"18811"
18367,"13176"
18383,"None"
18511,"5479 5785 6656 23543 25598"
18531,"459 4210 8474 24852 27841 37065"
18542,"None"
18551,"None"
18559,"25199 40174"
18582,"8277 11777 13176 31635"
18635,"16262 44820"
18649,"None"
18660,"None"
18671,"13176 27845 41787 44661 47788"
18748,"13166"
18836,"22906"
18858,"24852"
18920,"31846"
18925,"27966"
18937,"None"
18964,"13176 22035 24838 42585"
18967,"6046 10613 37377"
18996,"117 8859"
19099,"None"
19263,"None"
19292,"14084"
19299,"None"
19361,"24852"
19388,"None"
19420,"24852 42443"
19438,"5322 21376"
19443,"21198 30776 41950 45747"
19506,"None"
19588,"16797 47626"
19619,"None"
19719,"8859 13176 14966"
19727,"None"
19759,"None"
19774,"13176 27086"
19786,"4957 7963 13176 19057 32033 37646 39190 44201 46969 47626"
19836,"47766"
19883,"None"
19927,"21903"
19974,"None"
20130,"33754 40571"
20158,"28204"
20220,"5287 23909 24852 38146"
20235,"13166 24852 30489 42633 46627"
20345,"13176 14870 21137 42265"
20410,"5876 28204 32578 40706 49235"
20502,"18564 19677"
20504,"37687"
20524,"8859 24703 24852 31509 32115 44799 45296"
20525,"None"
20750,"15469 22308"
20765,"24852"
20797,"None"
20801,"None"
20806,"19348 24852"
20851,"24184 24852"
20852,"196 12608 13643 17912 37241"
20872,"13755"
20894,"None"
20898,"None"
20975,"None"
21043,"46802"
21103,"17122"
21109,"None"
21121,"None"
21129,"None"
21194,"24852"
21198,"10326 43720"
21227,"17461"
21232,"None"
