KOSPI 200 구성종목 현황,,,,,
,,,,,
산업군,종목코드,종목명,산업군,종목코드,종목명
통신업,030200,KT,제조업,009580,무림P&P
,032640,LG유플러스,,033920,무학
,017670,SK텔레콤,,084870,베이직하우스
전기가스업,036460,한국가스공사,,003000,부광약품
,015760,한국전력,,005180,빙그레
건설업,000210,대림산업,,005090,삼광글라스
,047040,대우건설,,009150,삼성전기
,000720,현대건설,,005930,삼성전자
,012630,현대산업,,004000,삼성정밀화학
,006360,GS건설,,010140,삼성중공업
금융업,024110,기업은행,,012450,삼성테크윈
,006800,대우증권,,006400,삼성SDI
,005830,동부화재,,051310,성진지오텍
,037620,미래에셋증권,,004490,세방전지
,032830,삼성생명,,001430,세아베스틸
,016360,삼성증권,,003030,세아제강
,029780,삼성카드,,033530,세종공업
,000810,삼성화재,,004430,송원산업
,055550,신한지주,,029530,신도리코
,053000,우리금융,,003410,쌍용양회
,005940,우리투자증권,,003620,쌍용차
,086790,하나금융지주,,090430,아모레퍼시픽
,071050,한국금융지주,,010780,아이에스동서
,088350,한화생명,,005850,에스엘
,003450,현대증권,,078520,에이블씨엔씨
,138930,BS금융지주,,000670,영풍
,105560,KB금융,,007310,오뚜기
서비스업,035250,강원랜드,,001800,오리온
,019680,대교,,103130,웅진에너지
,047050,대우인터내셔널,,008000,웅진케미칼
,003490,대한항공,,014830,유니드
,000150,두산,,000100,유한양행
,023530,롯데쇼핑,,005950,이수화학
,000830,삼성물산,,007570,일양약품
,028050,삼성엔지니어링,,020760,일진디스플
,000070,삼양홀딩스,,020150,일진머티리얼즈
,004170,신세계,,001300,제일모직
,002790,아모레G,,001630,종근당
,012750,에스원,,006380,카프로
,036570,엔씨소프트,,007810,코리아써키트
,139480,이마트,,044820,코스맥스
,030000,제일기획,,120110,코오롱인더
,002020,코오롱,,003240,태광산업
,021240,코웨이,,005690,파미셀
,000140,하이트진로홀딩스,,016800,퍼시스
,052690,한전기술,,103140,풍산
,000700,한진해운홀딩스,,000080,하이트진로
,086280,현대글로비스,,025540,한국단자
,069960,현대백화점,,002960,한국쉘석유
,011200,현대상선,,104700,한국철강
,001040,CJ,,000240,한국타이어월드와이드
,000120,CJ대한통운,,047810,한국항공우주
,078930,GS,,018880,한라비스테온공조
,003550,LG,,128940,한미약품
,001120,LG상사,,020000,한섬
,006260,LS,,105630,한세실업
,035420,NHN,,004150,한솔제지
,034120,SBS,,004710,한솔테크닉스
,003600,SK,,009420,한올바이오파마
,034730,SK C&C,,003300,한일시멘트
,001740,SK네트웍스,,007860,한일이화
,096770,SK이노베이션,,097230,한진중공업
,011810,STX,,000880,한화
,028670,STX팬오션,,009830,한화케미칼
제조업,010130,고려아연,,012330,현대모비스
,002240,고려제강,,010620,현대미포조선
,007690,국도화학,,017800,현대엘리베이
,011780,금호석유,,011210,현대위아
,073240,금호타이어,,004020,현대제철
,000270,기아차,,009540,현대중공업
,003920,남양유업,,005380,현대차
,025860,남해화학,,010520,현대하이스코
,002350,넥센타이어,,010690,화신
,006280,녹십자,,004800,효성
,004370,농심,,093370,후성
,008060,대덕전자,,079980,휴비스
,004130,대덕GDS,,069260,휴켐스
,001680,대상,,097950,CJ제일제당
,042660,대우조선해양,,002380,KCC
,069620,대웅제약,,025000,KPX케미칼
,000430,대원강업,,033780,KT&G
,006650,대한유화,,034220,LG디스플레이
,001440,대한전선,,068870,LG생명과학
,001230,동국제강,,051900,LG생활건강
,000990,동부하이텍,,011070,LG이노텍
,000640,동아쏘시오홀딩스,,066570,LG전자
,007340,동아타이어,,093050,LG패션
,001520,동양,,108670,LG하우시스
,013570,동양기전,,051910,LG화학
,049770,동원F&B,,010120,LS산전
,082740,두산엔진,,010060,OCI
,042670,두산인프라코어,,005490,POSCO
,034020,두산중공업,,064960,S&T모티브
,115390,락앤락,,003570,S&T중공업
,004990,롯데제과,,006120,SK케미칼
,005300,롯데칠성,,000660,SK하이닉스
,011170,롯데케미칼,,011790,SKC
,002270,롯데푸드,,010950,S-Oil
,060980,만도,,077970,STX엔진
,009680,모토닉,,067250,STX조선해양
