회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
BYC,001460,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",6/2/1975,12월,유 중 화,http://www.byc.co.kr,서울특별시
CJ CGV,079160,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영",12/24/2004,12월,서 정,http://www.cgv.co.kr,서울특별시
CJ씨푸드,011150,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입",11/26/1988,12월,"유병철, 강신호(각자대표)",http://www.cjseafood.net,경기도
DSR제강,069730,1차 철강 제조업,"와이어로프,각종 경강선,철선제품,PC강선,아연도 강연선 제조",1/28/2003,12월,홍하종,http://www.dsrcorp.com,전라남도
KB금융,105560,기타 금융업,-,10/10/2008,12월,윤종규,http://www.kbfg.com,서울특별시
KC그린홀딩스,009440,기타 금융업,"환경방지오염시설(전기집진기,배연탈황설비,여과집진기,세정식집진기),제어장치 제조,설치",11/5/1994,12월,이태영,http://www.kcgreenholdings.com,서울특별시
LG하우시스,108670,플라스틱제품 제조업,"창호재, 자동차부품 등",4/20/2009,12월,오장수,http://www.lghausys.com,서울특별시
LS전선아시아,229640,기타 금융업,,9/22/2016,12월,신용현,http://www.lscnsasia.co.kr,경기도
MH에탄올,023150,알코올음료 제조업,"주정,탄산가스 제조",12/24/1996,12월,윤현의,http://www.mhethanol.com,경상남도
S&T홀딩스,036530,기타 금융업,"지배,경영지도,정리,육성",10/22/2002,12월,김도환,http://www.hisntholdings.com,서울특별시
SBS미디어홀딩스,101060,기타 금융업,지주회사,3/24/2008,12월,이웅모,http://www.sbsmedia.co.kr,서울특별시
SK텔레콤,017670,전기 통신업,"이동전화,무선호출서비스,부가통신",11/7/1989,12월,박정호,http://www.sktelecom.com,서울특별시
STX중공업,071970,일반 목적용 기계 제조업,"조선기자재, 기계부품, 엔진산업환경발전설비, 플랜트(EPC)",5/15/2009,12월,정태화,http://www.stxhi.co.kr,경상남도
계양전기,012200,일반 목적용 기계 제조업,"전동공구(그라인더,드릴,커팅머신),자동차용 D.C모터,엔진 제조",7/6/1988,12월,"단재완,정한수",http://www.keyang.co.kr,서울특별시
골든브릿지증권,001290,금융 지원 서비스업,유가증권 매매,9/23/1988,12월,박정하,http://www.bridgefn.com,서울특별시
기업은행,024110,은행 및 저축기관,은행업,12/24/2003,12월,"Kim, Do-jin",http://www.kiupbank.co.kr,서울특별시
깨끗한나라,004540,"펄프, 종이 및 판지 제조업","펄프,판지원지,화장지 제조,수출입",6/25/1975,12월,최병민,http://www.kleannara.com,서울특별시
남광토건,001260,토목 건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물 제조",12/28/1976,12월,김종오,http://www.namkwang.co.kr,경기도
남해화학,025860,"비료, 농약 및 살균, 살충제 제조업","비료(요소,복합비료),공업제품원료 제조,도매",11/10/1995,12월,이광록,http://www.nhchem.co.kr,서울특별시
대구백화점,006370,종합 소매업,"백화점운영,임대사업(백화점 코너)",10/10/1988,12월,구정모,http://www.debec.co.kr,대구광역시
대신증권,003540,금융 지원 서비스업,"유가증권 위탁매매,인수주선,자기매매 기타 금융서비스",10/1/1975,12월,나재철,http://www.daishin.com,서울특별시
대우건설,047040,건물 건설업,"아파트건설,토목공사,건축공사,포장공사,전기공사,무역/중장비 대여",3/23/2001,12월,송문선,http://daewooenc.co.kr,서울특별시
대한제분,001130,"곡물가공품, 전분 및 전분제품 제조업","소맥분,토코밀,프리믹스,밀가루조제품,제분부산물 제조/파스타 수입,판매",11/25/1970,12월,"이건영, 박현용",http://www.dhflour.co.kr,서울특별시
대한항공,003490,항공 여객 운송업,"여객운송,화물운송,항공기 제조,판매,정비수리/기내식 제조판매,면세품 판매",3/18/1966,12월,"조양호, 조원태, 우기홍",http://www.koreanair.com,서울특별시
대한해운,005880,해상 운송업,"외항화물운송,국제해운대리점",4/23/1992,12월,김용완,http://www.korealines.co.kr,서울특별시
덕양산업,024900,자동차 신품 부품 제조업,"자동차부품(CRASH PAD,TRIM PANEL) 제조,판매",6/23/1997,12월,"윤성희,이종숙(각자대표이사)",http://www.duckyang.co.kr,울산광역시
덴티움,145720,의료용 기기 제조업,치과용 기기 제조업,3/15/2017,12월,"강희택,김용근",http://www.dentium.co.kr,서울특별시
디씨엠,024090,1차 철강 제조업,"PCM(칼라강판),라미네이트강판,산업용필름 제조,판매",8/18/1999,12월,정연택,http://www.dcmcorp.co.kr,경상남도
락앤락,115390,플라스틱제품 제조업,플라스틱 밀폐용기,1/28/2010,12월,"김준일, 김성태",,충청남도
롯데케미칼,011170,기초 화학물질 제조업,"폴리프로필렌,고밀도폴리에틸렌,에틸렌글리콜,벤젠,에틸렌옥사이드,합성지,부산물 제조",5/30/1991,12월,김교현,http://www.lottechem.com,서울특별시
마니커,027740,"도축, 육류 가공 및 저장 처리업","닭고기,햄,계육가공제품,계육,육가공제품 제조,판매,유통/양계관련사업/부동산임대/수출입대행",10/29/2002,12월,이창우,http://www.maniker.co.kr,경기도
메리츠종금증권,008560,금융 지원 서비스업,"유가증권의 위탁매매,자기매매,인수공모주선업무",1/15/1992,12월,최희문,http://www.imeritz.com,서울특별시
모토닉,009680,자동차 신품 부품 제조업,"자동차용 기화기(캬브레타,다이캐스트,연료펌프) 제조,판매",1/14/1994,12월,"김영봉, 신현돈(각자 대표이사)",http://www.motonic.co.kr,서울특별시
보락,002760,기타 화학제품 제조업,"식품향료,식품첨가물,화학제품,껌베이스(자일리톨,에리스리톨),담배향료 제조,판매",11/30/1989,12월,정기련,http://www.bolak.co.kr,경기도
보령제약,003850,의약품 제조업,"의약품(제산제(겔포스),구심,용각산,고혈압치료제(카프릴),소염진통제(멘소레담),항생제(듀리세프),혈전치료제(아스트릭스)) 제조",10/24/1988,12월,"김은선, 최태홍 각자대표",http://www.boryung.co.kr,서울특별시
부광약품,003000,의약품 제조업,"의약품,치약,의약부외품(부광탁스,레가론,부광안티프라그) 제조",8/5/1988,12월,"유희원, 김상훈(공동대표이사)",http://www.bukwang.co.kr,서울특별시
사조해표,079660,기타 식품 제조업,"식용유 제조/농수산물,식용유 도매,무역/부동산 임대",9/21/2004,12월,김상훈,http://www.sajohp.com,서울특별시
삼성물산,028260,기타 전문 도매업,"도소매, 건설, 남자용 정장 제조업 등",12/18/2014,12월,"최치훈, 김신, 김봉영",http://www.samsungcnt.com,서울특별시
삼성화재해상보험,000810,보험업,"손해보험의 원수,재보험,운용자산의 투자활동",6/30/1975,12월,안민수,http://www.samsungfire.com,서울특별시
삼양통상,002170,"가죽, 가방 및 유사제품 제조업","피혁원단,혁제운동화,혁제장갑,혁제스포츠용품 제조,상품중개,무역",11/10/1989,12월,허남각,http://www.samyangts.com,서울특별시
삼정펄프,009770,"펄프, 종이 및 판지 제조업","지류화장지,안면용,위생용 티슈 제조,판매",10/17/2006,12월,전성오,http://www.sjpulp.com,경기도
삼호개발,010960,기반조성 및 시설물 축조관련 전문공사업,"토공사,철근콘크리트공사,포장공사,미장방수공사,상하수도공사,수중공사,비계구조물해체공사/골재,아스콘 제조,판매,중기임대",5/12/2005,12월,김락중,http://www.samhodev.co.kr/,충청남도
삼화전자공업,011230,영상 및 음향기기 제조업,"전자부품(페라이트 코어,SMPS,편향요크(DY),고압변성기(FBT)용코어) 제조,판매",5/25/1987,12월,"오영주, 송정권(각자대표)",http://www.samwha.co.kr,경기도
새론오토모티브,075180,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝,허브,캠),분말야금제품,에어콘,냉장고용부품 제조,도매",10/21/2005,12월,"서인석, 니시하라코지(공동대표이사)",http://www.saeronauto.co.kr,충청남도
선진,136490,동물용 사료 및 조제식품 제조업,조제동물사료,2/16/2011,12월,이범권,,경기도
